time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.063088573397718e-08,-2.1385120080444457e-08,10.000812332252968,6.283152161980809,9.053390815871865e-05,0.0,-6.628105204545983e-06,-2.2029288601088266e-06,0.027077180609478717,-0.0016808975238776598,0.004367923301710344,0.0,413.34832777968313,413.73297478362736,412.7665810026811,412.6182549312012
0.12000000000000001,-3.239105762534285e-06,7.97144294035239e-07,10.003421695167157,0.0011724395559253864,0.000553048177504678,0.0,-0.0001330048009727665,9.725252963174938e-05,0.05990005320237651,0.045269978511223816,0.013669072261372268,0.0,415.77467482476635,416.5885160204279,411.82854974366717,415.96001607448693
0.18,-2.640264792136394e-05,4.2707568467900224e-05,10.01094272560595,0.0036220270327484982,0.0010169763140783772,0.0,-0.0007117414835380464,0.0015771162271086497,0.19078674089634312,0.02999868680107421,-0.008086425271201224,0.0,447.8099570931461,446.03701657302145,446.9032006279642,445.6577806975325
0.23999999999999996,-8.502054216385673e-05,0.00020547609757626807,10.02197861287531,0.005231240535976234,0.0003106372592389661,0.0,-0.0011925273432336454,0.003994460558827021,0.17707798385996482,0.019555520830901993,-0.02040937064578205,0.0,399.9018605050408,398.7780786688218,399.6175671936657,398.66490951808765
0.3,-0.0001590225121970033,0.0005767477539536916,10.038974611833327,0.0068862779716578615,6.282609238875221,0.0,-0.001151177872390342,0.008552960021730333,0.3894054584297936,0.04011610730041173,-0.005395433588059209,0.0,470.87631227997616,472.0362511739034,470.25383667490894,471.84367419182274
0.36000000000000004,-0.0002141553396700672,0.0012502850511200896,10.066443188508478,0.009883648199955353,6.282062160720061,0.0,-0.0006412228120157075,0.014193614560712586,0.5261577728370078,0.06462504375609052,-0.01785724520695987,0.0,449.57203110386246,448.56144437452787,447.12932065483494,449.12271316344163
0.4200000000000001,-0.00022094103842311088,0.0023569753376600135,10.104423933870805,0.013582316654801474,6.281106885668976,0.0,0.0005349978034015503,0.023145892066000526,0.7397477069230876,0.05489776061149209,-0.0123062158739941,0.0,472.29982417673483,472.7278034396976,471.66058267551944,470.9113209018891
0.48000000000000015,-0.0001443855008704218,0.0040301211928778875,10.151188334386923,0.01688243199101791,6.280258127423966,0.0,0.0020949752817001847,0.03295101785514334,0.8190066614926195,0.055209353542367605,-0.01810561331273869,0.0,430.55347598661706,430.0627079251897,431.413781338843,431.44221797971034
0.5400000000000001,5.119660903223534e-05,0.006398837614711828,10.20503588193931,0.02048802446128395,6.279268537857783,0.0,0.004538468202613346,0.04638751659452655,0.9757829995018414,0.06840583941274073,-0.013449110243071737,0.0,455.0754143324125,455.4480365097957,454.8019572550792,455.85996824367925
0.6000000000000002,0.00040598081114446026,0.009613991611801475,10.266184226208308,0.02555428409307403,6.2783160910842,0.0,0.007374861350609224,0.06125247142141206,1.0624070961296186,0.10520255661560855,-0.02122812185344919,0.0,433.7418750955846,433.0882399587722,432.36750310551827,435.461719861927
0.6600000000000003,0.0009448829989031601,0.013793279905908784,10.331134747186942,0.0315174006965373,6.276898002322696,0.0,0.010713289325596929,0.07863110470914073,1.1025549195329307,0.08402409957870731,-0.02894363476255503,0.0,419.33982938249665,418.66903791181176,419.3536024450667,417.5190898466309
0.7200000000000003,0.0017359700995817665,0.019241219945254972,10.402125717417746,0.03639172668910717,6.2746255642201785,0.0,0.015862797515889007,0.10351248704667851,1.2636254656518187,0.07499207057309021,-0.06929685538261104,0.0,458.7992350058747,455.58340127310674,457.6051841608625,456.8908339593435
0.7800000000000004,0.00289954323670808,0.026298034309776435,10.483009434289155,0.040778447117670424,6.270763395826194,0.0,0.023369538042875726,0.1322053703764234,1.4322771267198613,0.06906092741392059,-0.055993766631713265,0.0,459.85778528624314,460.90730315086284,459.70081159823525,459.2345868118891
0.8400000000000004,0.0045555358895781085,0.035038228016140906,10.570723201357598,0.04513802858387628,6.26712996898487,0.0,0.03216299825381068,0.1595391560839648,1.4914156534410559,0.07902600314323027,-0.07174706931035256,0.0,426.5755236384062,425.22540033913964,425.7054644740621,426.56153133051095
0.9000000000000005,0.0068349699135742195,0.045565913329606834,10.663297420210794,0.05018551995447584,6.263169350441817,0.0,0.044237442658246084,0.19187892984119423,1.5942196298712918,0.09274756944188,-0.0564834002020829,0.0,439.78736710145967,441.0463354841715,439.56697758938833,440.7083046134467
0.9600000000000005,0.009863956635448878,0.058007052528610804,10.759415940687635,0.05560547005248928,6.259620878942396,0.0,0.057038490875991776,0.2233149959721981,1.60967350941511,0.08500672529779507,-0.06506843931674328,0.0,413.2456612488772,412.48549170979936,411.726637419557,411.04879243329145
1.0200000000000005,0.013923623812842584,0.0728884531282605,10.864540544359338,0.06068836087418461,6.2558345144606555,0.0,0.07877062880463634,0.27336318817326516,1.8939960821656354,0.08412499780511118,-0.05944647057303162,0.0,494.8956235155741,495.3067651329863,494.6677468974405,494.6079077484282
1.0800000000000005,0.019158325429089438,0.09040703867620643,10.97863630051712,0.06597902680472068,6.252261116213106,0.0,0.09603834065660113,0.31104862192322424,1.9091261814954543,0.09524726969123304,-0.0597777881369796,0.0,413.2067203937472,413.17472288756164,412.81196724524267,413.79923033085805
1.1400000000000006,0.025522915726241487,0.11034523533896173,11.094543486641758,0.07137254834694229,6.248377277595647,0.0,0.11646091664447404,0.3540735676987405,1.9543152413923923,0.07615187317425498,-0.07714376456080614,0.0,424.6558031145956,423.16017726669605,423.78979368416674,422.15241688965494
